"X","work_year","experience_level","employment_type","job_title","salary_in_usd","employee_residence","remote_ratio","company_location","company_size"
"1",0,2020,"MI","FT","Data Scientist",79833,"DE",0,"DE","L"
"2",1,2020,"SE","FT","Machine Learning Scientist",260000,"JP",0,"JP","S"
"3",2,2020,"SE","FT","Big Data Engineer",109024,"GB",50,"GB","M"
"4",3,2020,"MI","FT","Product Data Analyst",20000,"HN",0,"HN","S"
"5",4,2020,"SE","FT","Machine Learning Engineer",150000,"US",50,"US","L"
"6",5,2020,"EN","FT","Data Analyst",72000,"US",100,"US","L"
"7",6,2020,"SE","FT","Lead Data Scientist",190000,"US",100,"US","S"
"8",7,2020,"MI","FT","Data Scientist",35735,"HU",50,"HU","L"
"9",8,2020,"MI","FT","Business Data Analyst",135000,"US",100,"US","L"
"10",9,2020,"SE","FT","Lead Data Engineer",125000,"NZ",50,"NZ","S"
"11",10,2020,"EN","FT","Data Scientist",51321,"FR",0,"FR","S"
"12",11,2020,"MI","FT","Data Scientist",40481,"IN",0,"IN","L"
"13",12,2020,"EN","FT","Data Scientist",39916,"FR",0,"FR","M"
"14",13,2020,"MI","FT","Lead Data Analyst",87000,"US",100,"US","L"
"15",14,2020,"MI","FT","Data Analyst",85000,"US",100,"US","L"
"16",15,2020,"MI","FT","Data Analyst",8000,"PK",50,"PK","L"
"17",16,2020,"EN","FT","Data Engineer",41689,"JP",100,"JP","S"
"18",17,2020,"SE","FT","Big Data Engineer",114047,"PL",100,"GB","S"
"19",18,2020,"EN","FT","Data Science Consultant",5707,"IN",50,"IN","M"
"20",19,2020,"MI","FT","Lead Data Engineer",56000,"PT",100,"US","M"
"21",20,2020,"MI","FT","Machine Learning Engineer",43331,"CN",0,"CN","M"
"22",21,2020,"MI","FT","Product Data Analyst",6072,"IN",100,"IN","L"
"23",22,2020,"SE","FT","Data Engineer",47899,"GR",50,"GR","L"
"24",23,2020,"MI","FT","BI Data Analyst",98000,"US",0,"US","M"
"25",24,2020,"MI","FT","Lead Data Scientist",115000,"AE",0,"AE","L"
"26",25,2020,"EX","FT","Director of Data Science",325000,"US",100,"US","L"
"27",26,2020,"EN","FT","Research Scientist",42000,"NL",50,"NL","L"
"28",27,2020,"SE","FT","Data Engineer",33511,"MX",0,"MX","S"
"29",28,2020,"EN","CT","Business Data Analyst",100000,"US",100,"US","L"
"30",29,2020,"SE","FT","Machine Learning Manager",117104,"CA",50,"CA","L"
"31",30,2020,"MI","FT","Data Engineering Manager",59303,"DE",100,"DE","S"
"32",31,2020,"EN","FT","Big Data Engineer",70000,"US",100,"US","L"
"33",32,2020,"SE","FT","Data Scientist",68428,"GR",100,"US","L"
"34",33,2020,"MI","FT","Research Scientist",450000,"US",0,"US","M"
"35",34,2020,"MI","FT","Data Analyst",46759,"FR",50,"FR","L"
"36",35,2020,"MI","FT","Data Engineer",74130,"AT",50,"AT","L"
"37",36,2020,"MI","FT","Data Science Consultant",103000,"US",100,"US","L"
"38",37,2020,"EN","FT","Machine Learning Engineer",250000,"US",50,"US","L"
"39",38,2020,"EN","FT","Data Analyst",10000,"NG",100,"NG","S"
"40",39,2020,"EN","FT","Machine Learning Engineer",138000,"US",100,"US","S"
